tweet_id,tweet_text
1, ben mellor want the tories out he rocks up suggesting whatever was in the guardian that day  somehow having any semblance of policies to deal with this clusterfuck is purity or ideology  despite the fact that he knows brexit is a tory creation its always been corbyn for ben
2,richard ayoade doesnt even sound like he believes what hes saying anymore in hsbcs antibrexit adverts
3,if sht was chocolate no body would starve
4, let me guess you also voted brexit 
5,join our webinar with speakers from hogan lovells and techuk to discuss the latest news on brexit and the uks negotiations with the eu and the prospects of global trade deals brexit 
6, and even if we defied international noneu law  tried to bar pesky forriners fishing in our waters we couldnt defend them due to dogmadriven cuts by the   uk has insufficient ships to protect fisheries after brexit
7, i voted remain in  and labour in  and  so i am not the brexit idiot
8, the brexit party hold none of the extremist views the afd do
9, britain post brexit
10, sorry but blaming every job loss in uk on brexit is pure bolloxs try looking through that list and you will see that majority of them losses are blamed on other factors i looked at vivargo fuels and maplins just for  examples
11, i dont get the same bbc news as you havent seen any coverage of brexit on usa bbc news  i will remember this however
12,brexit emmanuel macron not sure of ukeu trade deal by end of year 
13, is reneging on his agreement with that lead to the brexit deal  it was on varadkars recommendation that the eu went ahead with this deal which is now falling apart  this explains varadkars urgency to get into opposition pay attention folks twip
14, more people voted for brexit than the snp in 
15, leaves mean leaves the people have voted during the brexit referendum in  and during the most recent election boris johnson got a majority no point moaning about it people have voiced there opinions and the government have to deliver in which they will for the better
16,johnsongovecummingsmob control no like plotting a walkawaynotradedeal for a decemberdeparture to to pay debts to altrightergcomrades  have launched a new blamegame called blameeverythingontheeu
17,brexit uk reneging on northern ireland pledges risks trade deals with us and eu 
18, so the libdems the only party who said theyd stop brexit lost all their defector mps and finished with fewer seats than they started with  they also lost their leader  you lost  get over it  move on
19, im sad so sad that you think brexit was about a blue passport especially as i dont actually have one collaborating with any country comes with risks eu has proven that  you just need to knowaccept when enough is enough
20,would have thought it was to do with the wind rain etc not brexit
21, honestly service in berlin and germany more widely was awful long long before brexit theres even a name for it service wste deutschland   theres lots i miss about berlin but the service and the airports arent among them
22, and the bullshit anti brexit scare mongering continues
23, i suspect richard branson will probably blame brexit
24, but thats democracy surely i want brexit think its great for the country as long as we dont do a terrible deal think no deal is far preferable and would be my preference  the european union will go bust eventually and we will have to pick up the pieces if we are in it
25,the days of employing cheap labour are finished since brexit   this is now  true to get your eu fruit picking staff you now have to pay k instead of k  farms will still need to pick the fruit  brits wont do it so  who picks up the costs the customer morons
26, libertarian antipc from communist to brexit party and still has the effrontery to classify herself as on the left and quote hannah arendt if she is a socialist  i am not id be ashamed
27,very very true hindsight is a wonderful thing
28,stop the bbc
29, for the last time no thank you remember some scots did vote for brexit
30, im really worried that bernies muddled brexit message will hurt him in the general
31, essentially what i said the tories didnt win anything so much as it was given to them their manifesto didnt speak to anyone it sidnt capture the zeitgeist short of brexit  we can slag off labour without bigging up a mediocre conservative party
32, you voted for brexit your opinion doesnt matter
33, true  million is peanuts for him especially for such a powerful propaganda tool hes gonna earn a lot more from brexit alone
34, you say this as if labour was on course for victory following corbyns doomed torylite brexit strategy i was at conference where it appeared that the membership had agreed to starmers nd ref policy  corbyn unilaterally went against this and only got onboard with weeks to go
35,  years of debate or  years of a pointless attempt to stop brexit say it as it was
36,european commission president ursula von der leyen confessed she dreams of eu army and united states of europe  yeah to say that britain has had a lucky escape from their globalist club would be the understatement of the year thank god for brexit  
37,last call brexit demonstrated the case for direct democracy  writes jonathan saxty for properbrexit 
38, theres a fact steve bannon has been on a major world tour pushing the putin agenda there is a nasty rw agenda all throughout europe putin has happily owned brexit promoted by bannon its hard to see but cultimpotus is small in us it seems huge but we still have hope
39,the uk voted for brexit and then the us followed them down that hole by electing trump then corbyn did his bernie impression and the left had the worst loss in a generation last year are we seriously going to do this shit when we know what the outcome will be
40,screwball 
41, blair won his first victory riding on the wave produced by john smith the second election his vote had dropped significantly and the third was lower than both of jeremy corbyns election results jeremy was slaughtered by the press and faced brexit with a number of disloyal mps
42, hes always been on the side of those that pay him your response clearly shows that you havent got a clue when will the brexit p finally drop 
43,a loss for brexit
44,my best friend after i spent the day making a child cry because of brexit nah man 
45,brexit uk reneging on northern ireland pledges risks trade deals with us and eu    
46, you will never be forgiven if you betray our fisherman this is one of the main reasons we have voted for brexit we really have had enough of being taken for fools by the eudont think for one minute you can start doing the same we expect total control 
47, exactly thats why we are looking forward to an independent scotland  of course history shapes our future the whole brexit discussion  idiots bleating on about  world wars   but we only have to go back to the thatcher era to see how scotland got shafted and still does
48,close the bbc asap
49, just trying to compute the stats given the election result it seems to be a bit of a stretch to think many brexit supporters of  were not tory voters in  your experience may contradict this
50,brexit uk reneging on northern ireland pledges risks trade deals with us and eu  
51,there may have been a iraq  backlash but he would have stood a much better chance than brown also you missed another thing there wouldnt have been such hard or long austerity
52,chinese tech companies trying to capitalize and dominate postbrexit britain with new g technology im with farage on this and not selling out to china like the us and so many other countries have done over the years this is critical
53, a proud nation proud of what proud of your racists in proud of your tabloids proud of your austerity policy proud of your tactics to blame the eu for everything that goes wrong proud of your lying politicians proud of turning your back to europeeu brexit
54,uk to start issuing postbrexit blue passports  via
